Date,Open,High,Low,Close,Volume
2018-07-27,7926,7941.73,7893.21,7893.21,4095524.58
2018-07-26,8174.06,8314.23,7855.97,7926,65857948.72
2018-07-25,8403.83,8475,8049.22,8174.06,85270824.58
2018-07-24,7719.62,8496.96,7691.14,8403.83,151310569.73
2018-07-23,7396.6,7800,7369.86,7719.62,96571278.24
2018-07-22,7409.92,7581.03,7336.15,7396.6,38059816.24
2018-07-21,7330.84,7458,7212,7409.92,29657027.95
2018-07-20,7471.42,7696.88,7265,7330.84,69721139.88
2018-07-19,7374.88,7570.9,7278.84,7471.42,65189565.07
2018-07-18,7310.71,7599.98,7239.15,7374.88,99059622.37
2018-07-17,6721.04,7468.31,6657.95,7310.71,89443629.79
2018-07-16,6349.3,6755,6333.63,6721.04,61776752.48
2018-07-15,6243.98,6397.21,6227.76,6349.3,22531808.77
2018-07-14,6215.59,6317.84,6180,6243.98,16131386.29
2018-07-13,6243.88,6337.25,6121.01,6215.59,36792068.82
2018-07-12,6380,6380,6072,6243.88,48264011.74
2018-07-11,6299.46,6400,6285,6380,40422766.09
2018-07-10,6666.75,6683.9,6270.84,6299.46,59079611.2
2018-07-09,6706.6,6814.72,6620,6666.75,48058466.98
2018-07-08,6759.99,6783.54,6674.6,6706.6,34673975.5
2018-07-07,6596.53,6820,6510,6759.99,32039126.13
2018-07-06,6533.69,6636.15,6449.76,6596.53,35714562.2
2018-07-05,6584.25,6700,6445.31,6533.69,50623962.16
2018-07-04,6507.99,6792.28,6413.2,6584.25,44104610.98
2018-07-03,6612.98,6666,6464.39,6507.99,39007361.17
2018-07-02,6349.99,6667.57,6270.69,6612.98,57156646.61
2018-07-01,6385.71,6438.55,6259.34,6349.99,26417260.54
2018-06-30,6204.24,6510,6190.28,6385.71,44052425.65
2018-06-29,5848.33,6299,5774.72,6204.24,71636732.3
2018-06-28,6135.64,6165.49,5818.14,5848.33,53453287.6
2018-06-27,6068,6181.11,5985,6135.64,45361890.94
2018-06-26,6253.61,6277,6025.68,6068,47951768.39
2018-06-25,6153.4,6365.34,6075.01,6253.61,60122649.66
2018-06-24,6177.38,6255.05,5780,6153.4,68399360.49
2018-06-23,6050.45,6261,6048.54,6177.38,28145734.06
2018-06-22,6718.33,6737.97,5940,6050.45,116516606.03
2018-06-21,6756.58,6792.2,6677.85,6718.33,32564408.83
2018-06-20,6736.52,6809.26,6558.95,6756.58,34692917.9
2018-06-19,6707.5,6841.81,6660.21,6736.52,36644831.8
2018-06-18,6453.41,6793,6381.25,6707.5,38916063.79
2018-06-17,6487.92,6575.35,6429.23,6453.41,18412428.55
2018-06-16,6390.6,6557.81,6333.63,6487.92,22957650.67
2018-06-15,6646.1,6666.66,6370,6390.6,46685086.33
2018-06-14,6307.4,6708.1,6270.69,6646.1,92121861.87
2018-06-13,6557.67,6624.45,6120,6307.4,122786788.14
2018-06-12,6880.61,6880.76,6461.42,6557.67,59092996.24
2018-06-11,6781.17,6919.97,6634.86,6880.61,77070641.46
2018-06-10,7492.7,7498,6627.7,6781.17,100255171.17
2018-06-09,7618.11,7686.45,7468.31,7492.7,20619323.12
2018-06-08,7689.28,7697,7542,7618.11,35622819.63
2018-06-07,7658.57,7750,7618.99,7689.28,58063422.6
2018-06-06,7617.98,7695.46,7482.61,7658.57,53677946.08
2018-06-05,7488.26,7685,7360,7617.98,74707307.08
2018-06-04,7703.67,7764.44,7449.68,7488.26,52874207.37
2018-06-03,7642,7790.69,7581.03,7703.67,36376196.76
2018-06-02,7511.6,7700,7438.92,7642,30475405.25
2018-06-01,7492.28,7620.01,7348.45,7511.6,50587954.66
2018-05-31,7375.73,7601.23,7330.22,7492.28,55144260.57
2018-05-30,7469.45,7559,7273.89,7375.73,66460464.15
2018-05-29,7112.5,7537,7026.9,7469.45,80814280.45
2018-05-28,7347.39,7445,7084.99,7112.5,47652142.66
2018-05-27,7335.99,7412.57,7213.09,7347.39,22995002.76
2018-05-26,7471.18,7622.87,7276.04,7335.99,30225159.43
2018-05-25,7586.88,7661.07,7328.13,7471.18,75352118.7
2018-05-24,7502.89,7733.99,7267.24,7586.88,87486613.44
2018-05-23,7984.08,8032.01,7435.49,7502.89,136149933.06
2018-05-22,8391.76,8417.65,7951.41,7984.08,74532297.79
2018-05-21,8518.48,8589.1,8320,8391.76,51780405.45
2018-05-20,8231.2,8590,8170.71,8518.48,44509496.32
2018-05-19,8248.87,8395,8141.08,8231.2,31243933.28
2018-05-18,8067.03,8275.1,7929.53,8248.87,58093499.64
2018-05-17,8346.59,8500,7980,8067.03,68210896.57
2018-05-16,8474.99,8505.33,8100.01,8346.59,105058169.86
2018-05-15,8674.36,8865,8400,8474.99,107036084.46
2018-05-14,8696.58,8900.9,8286.57,8674.36,162135043.55
2018-05-13,8481.6,8775.9,8335.56,8696.58,84280724.78
2018-05-12,8411.42,8652.8,8208.81,8481.6,130051000.66
2018-05-11,9020.99,9020.99,8351,8411.42,177279927.98
2018-05-10,9308.49,9393,8987.74,9020.99,108645338.13
2018-05-09,9167.69,9368.79,8974.62,9308.49,104305920.46
2018-05-08,9359.52,9450,9015,9167.69,105415298.03
2018-05-07,9623.54,9634.5,9175,9359.52,127010639.85
2018-05-06,9823.28,9918.41,9375,9623.54,78150008.85
2018-05-05,9696.57,9948.98,9670.68,9823.28,72754286.99
2018-05-04,9732.43,9784.73,9527.38,9696.57,70716940.7
2018-05-03,9222,9799.99,9165.19,9732.43,109943721.45
2018-05-02,9066.9,9259.16,8975.23,9222,96344037.24
2018-05-01,9242.17,9249.99,8815.91,9066.9,109028331.07
2018-04-30,9393.99,9443.96,9111,9242.17,74978446.9
2018-04-29,9345.11,9538.75,9180,9393.99,102349678.47
2018-04-28,8921.43,9442.34,8854.47,9345.11,143728558.95
2018-04-27,9274.48,9387.82,8901.09,8921.43,104644754.14
2018-04-26,8864.99,9326.79,8647.29,9274.48,178009104.47
2018-04-25,9648,9755.53,8751,8864.99,303220038.56
2018-04-24,8946.95,9737.16,8930,9648,190711801.45
2018-04-23,8789.96,9006.39,8771.22,8946.95,91446649.76
2018-04-22,8920.71,9036.52,8760,8789.96,83089020.81
2018-04-21,8861,9023.4,8608,8920.71,134950187.05
2018-04-20,8271.31,8934,8216.9,8861,136267900.24
2018-04-19,8172.84,8297.99,8074.44,8271.31,77478927.09
2018-04-18,7890.87,8235,7870.35,8172.84,74525247.42
2018-04-17,8048.15,8160.85,7806.81,7890.87,74462014.27
2018-04-16,8354.22,8424.99,7905,8048.15,87993966.21
2018-04-15,8000.41,8417,8000.41,8354.22,62269321.05
2018-04-14,7896.92,8232.14,7835,8000.41,71681139.86
2018-04-13,7923.78,8239.33,7753.32,7896.92,157461506.32
2018-04-12,6940.94,8069.34,6758.45,7923.78,143664243.1
2018-04-11,6835.67,6984.92,6809.26,6940.94,40165964.26
2018-04-10,6780.1,6900,6653.21,6835.67,43978750.45
2018-04-09,7027.26,7175.83,6611.49,6780.1,69104966.97
2018-04-08,6904.9,7104.52,6894.8,7027.26,30482451.72
2018-04-07,6618.33,7069.13,6600.99,6904.9,52984840.5
2018-04-06,6771.69,6850,6510,6618.33,56294477.9
2018-04-05,6799.95,6928.7,6578.95,6771.69,80262665.41
2018-04-04,7416.27,7430,6710.38,6799.95,110954121.84
2018-04-03,7052.76,7506.84,7001.28,7416.27,118019785.63
2018-04-02,6813.52,7106.5,6759.96,7052.76,95159965.02
2018-04-01,6928.62,7045.71,6427.16,6813.52,121116431.4
2018-03-31,6850,7231.73,6794.26,6928.62,81326187.47
2018-03-30,7088.38,7302.35,6550,6850,199556780.67
2018-03-29,7932.41,7968,6914.53,7088.38,163975079.77
2018-03-28,7791.7,8104.98,7723.03,7932.41,66890222.86
2018-03-27,8149.66,8211.62,7742.11,7791.7,98488415.19
2018-03-26,8453.9,8500,7831.15,8149.66,145246518.54
2018-03-25,8547,8680,8368.63,8453.9,78013217.69
2018-03-24,8920.79,9020,8505,8547,85811618.32
2018-03-23,8704.67,8920.79,8265,8920.79,117134344.45
2018-03-22,8893.79,9099.59,8503.52,8704.67,109923828.13
2018-03-21,8904.02,9188.1,8754.83,8893.79,108594771.1
